Zaman damgası	Puan	1.) Kişisel gelişim kavramına ne kadar aşinasınız?	"2.) Kişisel gelişim kavramı sizin için ne ifade ediyor? (Kısa Yanıt)
"	3.) Sizce kişisel gelişimde en önemli alanlar hangileridir? (En fazla 3 seçenek işaretleyiniz)	4.) Sizce kişisel gelişim, tatmin edici bir yaşam için ne kadar önemlidir	5.) Günlük yaşamınızda küçük değişiklikler veya belirli alışkanlıklar (örneğin: günlük tutmak, egzersiz yapmak, meditasyon, okuma vb.) aracılığıyla kendinizi geliştirmeyi denediniz mi?	6.) Eğer evet ise, kişisel gelişim yolculuğunuza başlamanızı ne motive etti? (Kısa Yanıt)	7.) Hangi alanlarda kendinizi geliştirmeyi denediniz? (Birden fazla seçebilirsiniz)	8.) Küçük kişisel gelişim tekniklerini uygulamada ne kadar tutarlısınız?	9.) Kişisel gelişim alışkanlıklarının aşağıdaki alanlarda ne kadar etkili olduğunu düşünüyorsunuz? (1 = Hiç etkili değil, 5 = Çok etkili) [Zihinsel sağlık]	9.) Kişisel gelişim alışkanlıklarının aşağıdaki alanlarda ne kadar etkili olduğunu düşünüyorsunuz? (1 = Hiç etkili değil, 5 = Çok etkili) [Özgüven ve benlik saygısı]	9.) Kişisel gelişim alışkanlıklarının aşağıdaki alanlarda ne kadar etkili olduğunu düşünüyorsunuz? (1 = Hiç etkili değil, 5 = Çok etkili) [Günlük üretkenlik]	9.) Kişisel gelişim alışkanlıklarının aşağıdaki alanlarda ne kadar etkili olduğunu düşünüyorsunuz? (1 = Hiç etkili değil, 5 = Çok etkili) [Stres ve kaygı düzeyi]	9.) Kişisel gelişim alışkanlıklarının aşağıdaki alanlarda ne kadar etkili olduğunu düşünüyorsunuz? (1 = Hiç etkili değil, 5 = Çok etkili) [Genel mutluluk ve yaşam memnuniyeti]	10.) Küçük ve düzenli alışkanlıkların (örneğin: erken kalkmak, günlük tutmak, her gün okumak) zamanla düşünce yapınızı nasıl etkilediğini düşünüyorsunuz? (Kısa Yanıt)	11.) Günlük küçük gelişim alışkanlıklarını uygulamaya başladıktan sonra özgüveninizde veya kaygı düzeyinizde bir iyileşme fark ettiniz mi?	12.) Kişisel gelişimde süreklilik sağlamaya çalışırken karşılaştığınız en büyük zorluklar nelerdir? (Kısa Yanıt)	13.) Sizce kişisel gelişim hakkında insanların sıkça sahip olduğu yanlış kanılar nelerdir? (Kısa Yanıt)	14.) Sizce kişisel gelişim daha çok içsel büyümeye (zihinsel huzur, özgüven, farkındalık) mi yoksa dışsal başarıya (zenginlik, tanınma, üretkenlik) mı odaklanmalıdır?	15.) Kişisel gelişim yolculuğuna başlamak isteyen birine ne tavsiye verirsiniz? (Kısa Yanıt)	16.) Kişisel gelişimi tek bir kelimeyle tanımlamak gerekseydi, hangi kelimeyi seçerdiniz? (Açık Uçlu Yanıt)						
11.11.2025 07:29:04		Son derece aşinayım	Değişim /gelişim /özün farkındalığı	Sosyal ilişkiler ve iletişim, Özgüven ve duygusal denge, Finansal ve kariyer gelişimi	Çok önemli	Evet	“Ben varsam dünyanvar, ben yoksam hiç bir şey yok.” algısı.	Fiziksel sağlık (egzersiz, beslenme), Zihinsel iyi oluş (stres azaltma, terapi, farkındalık), Özgüven ve benlik saygısı, Sosyal ve iletişim becerileri	Oldukça tutarlıyım	5	5	4	5	5	Zihinsel rahatlama sağlıyor.	Evet, belirgin bir şekilde	Zaman ayırma sıkıntısı en büyükmsıkıntı. Yoğun iş ve ev temposu ile çalışmakta olan bireyler için en büyük sorun zamandır. Herşeye zaman ayırıp kendine ayırmak maalesef çok zor oluyor. 	Bunun için her zaman 2. Bir insana ihtiyaç yoktur ve reklamsal değil farkındalık ve ze dönüşün yoludur. 	Her ikisine eşit şekilde	Özellikle genç biri ise , farklı ol ve zamanın varken kendini keşfet, geliştir ve bir üst versiyonuna geç dersim. 	Gelecek						
11.11.2025 08:45:51		Orta düzeyde aşinayım	potansiyelimi keşfetmelerine yardımcı olmak için alınan eğitim, kitap, video vb.	Zihinsel sağlık ve düşünce yapısı, Üretkenlik ve disiplin, Özgüven ve duygusal denge	Çok önemli	Evet	Kendimde gördüğüm eksik yanlar, gelişime açık yönler	Fiziksel sağlık (egzersiz, beslenme), Zihinsel iyi oluş (stres azaltma, terapi, farkındalık), Özgüven ve benlik saygısı	Orta derecede tutarlıyım	4	4	4	4	4	Daha önce yapmış olduğum yanlış/doğruları daha objektif görmemi sağlar 	Evet, belirgin bir şekilde	Zaman, maliyet	Ben oldum yanılgısı	Her ikisine eşit şekilde	Her alınan eğitim muhakkak bir etkisi görülür. Vakit kaybetmeden başlamak 	Potansiyel						
11.11.2025 10:07:00		Oldukça aşinayım	Kendimin en iyi versiyonu olmam	Zihinsel sağlık ve düşünce yapısı, Sosyal ilişkiler ve iletişim, Özgüven ve duygusal denge	Çok önemli	Evet	Gelecek hayalleri	Fiziksel sağlık (egzersiz, beslenme), Zihinsel iyi oluş (stres azaltma, terapi, farkındalık), Özgüven ve benlik saygısı, Üretkenlik ve odaklanma, Sosyal ve iletişim becerileri	Orta derecede tutarlıyım	3	4	3	2	3	Daha düzenli bir düşünce yapısı ve daha az stres	Evet, belirgin bir şekilde	Motivasyon ve zaman	Anlamsız olduğunu düşünmeleri	İçsel büyüme	Abartmadan uygulamaya geçmesi azar azar arttırması zamanla	Huzur						
11.11.2025 15:26:11		Oldukça aşinayım	Surekli kendini güncellemeyi	Zihinsel sağlık ve düşünce yapısı, Fiziksel sağlık ve form, Üretkenlik ve disiplin	Çok önemli	Evet	Kendimin en iyi versiyonu olma istegi	Fiziksel sağlık (egzersiz, beslenme), Özgüven ve benlik saygısı, Üretkenlik ve odaklanma, Sosyal ve iletişim becerileri	Orta derecede tutarlıyım	5	5	5	5	5	Istikrarli bi hayat kazandirir	Evet, belirgin bir şekilde	Disiplinde sureklilik	Kisisel gelisimin cok hizli olma istegi	Her ikisine eşit şekilde	Kucuk adimlarla baslayip ,istikrarli olmalarini	Kendini kesfetmek						
11.11.2025 16:04:32		Orta düzeyde aşinayım	Kişinin kendini birey olarak duygusal ve düşünsel düzeyde geliştirmesi	Zihinsel sağlık ve düşünce yapısı, Sosyal ilişkiler ve iletişim, Manevi veya felsefi gelişim	Çok önemli	Evet	Kendimde gördüğüm eksiklikler	Fiziksel sağlık (egzersiz, beslenme), Zihinsel iyi oluş (stres azaltma, terapi, farkındalık), Sosyal ve iletişim becerileri	Orta derecede tutarlıyım	5	5	5	5	5	İyi	Evet, hafif şekilde	Kendim, eski alışkanlıklarım	Bilmiyorum	Her ikisine eşit şekilde	İstikrar en önemlisi	Tekamül						
11.11.2025 18:38:16		Oldukça aşinayım	Var olusuna deger katmak	Zihinsel sağlık ve düşünce yapısı, Fiziksel sağlık ve form, Üretkenlik ve disiplin	Çok önemli	Evet	Dogmus olmak	Fiziksel sağlık (egzersiz, beslenme), Özgüven ve benlik saygısı, Üretkenlik ve odaklanma	Oldukça tutarlıyım	5	5	5	3	4	Disiplin ve odaklanma becerileri gelistirir.	Evet, belirgin bir şekilde	Gelisememis insanlar ile muhatap olmak.	Zaman kaybi dusuncesi.	Her ikisine eşit şekilde	Degerini kendin belirle.	Aydinlanma						
11.11.2025 23:30:32		Son derece aşinayım	farkındalık ve kendini tanıma	Zihinsel sağlık ve düşünce yapısı, Üretkenlik ve disiplin, Özgüven ve duygusal denge	Hayati / vazgeçilemez	Evet	Ulaşmak istediğim hedef	Fiziksel sağlık (egzersiz, beslenme), Zihinsel iyi oluş (stres azaltma, terapi, farkındalık), Sosyal ve iletişim becerileri	Orta derecede tutarlıyım	5	5	5	5	5	Tutarlı ve disiplinli olmayı öğrettiğini	Evet, belirgin bir şekilde	Tembellik ve özgüven eksikliği	Sadece kitaplara limitli oluşu	Her ikisine eşit şekilde	Küçük adımlala başlamak bir rutine alışmak için en iyi yöntem	evrim						
12.11.2025 08:04:48		Oldukça aşinayım	yenilenmek	Zihinsel sağlık ve düşünce yapısı	Önemli değil	Evet	kendime vakit ayırma	Zihinsel iyi oluş (stres azaltma, terapi, farkındalık)	Oldukça tutarlıyım	4	4	4	4	4	olumlu	Evet, hafif şekilde	samanlama	zaman kaybı olduğuna inanıyorlar	Her ikisine eşit şekilde	zamanı geldii	kendin için						
12.11.2025 08:27:37		Orta düzeyde aşinayım	Varlığımı olgunlaştırmak	Zihinsel sağlık ve düşünce yapısı, Üretkenlik ve disiplin, Özgüven ve duygusal denge	Çok önemli	Evet	 Kişisel ihtiyaçlar 	Fiziksel sağlık (egzersiz, beslenme), Zihinsel iyi oluş (stres azaltma, terapi, farkındalık)	Orta derecede tutarlıyım	4	4	5	4	4	Olumlu	Evet, hafif şekilde	İşimin 7/24 sürprizlerle dolu olması ve  mesai kavramı olmayan bir iş olması	İlla ki spirituel  olaylarla ilgili olduğunu düşünmek	Her ikisine eşit şekilde	Vucuduna iyi bakmaya odaklansın , önce fiziksel ,olarak. Ardından vucut diğer ihtiyaçlarının yönünü belirlerçlarının 							
12.11.2025 09:54:27		Oldukça aşinayım	Kendine gelmek 	Zihinsel sağlık ve düşünce yapısı, Fiziksel sağlık ve form, Manevi veya felsefi gelişim	Çok önemli	Evet	Travmalar 	Zihinsel iyi oluş (stres azaltma, terapi, farkındalık)	Oldukça tutarlıyım	3	3	3	3	3	Olumlu 	Evet, belirgin bir şekilde	Sürdürme çabası , konfor alanını bırakma 	Sihirli değnek olduğunu düşünüyorlar 	Her ikisine eşit şekilde	Süreklilik 	Kendini bulmak						
12.11.2025 09:56:51		Oldukça aşinayım	Kendimi tanımak	Zihinsel sağlık ve düşünce yapısı, Fiziksel sağlık ve form, Manevi veya felsefi gelişim	Orta derecede önemli	Evet	İdol kişiler	Fiziksel sağlık (egzersiz, beslenme), Zihinsel iyi oluş (stres azaltma, terapi, farkındalık), Özgüven ve benlik saygısı	Orta derecede tutarlıyım	5	5	3	5	4	Disiplinin çok önemli olduğuna inanıyorum 	Evet, belirgin bir şekilde	Sabırsızlık 	Faydasız olduğu	Her ikisine eşit şekilde	Hemen başlamasını	Özgürlük						
12.11.2025 11:55:27		Orta düzeyde aşinayım	Beden-ruh ilişkisi	Zihinsel sağlık ve düşünce yapısı, Üretkenlik ve disiplin, Sosyal ilişkiler ve iletişim	Çok önemli	Evet	Yaşlanma korkusu	Fiziksel sağlık (egzersiz, beslenme), Zihinsel iyi oluş (stres azaltma, terapi, farkındalık), Sosyal ve iletişim becerileri	Orta derecede tutarlıyım	3	3	3	3	3	Olumlu	Evet, hafif şekilde	Planlı olamamak	Başaramamak	Her ikisine eşit şekilde	Planlı olmak	Müslüman (gerçek anlamda)						
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
